Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-0.30,-0.18,-3.01,-2.50,0.00,0.00,-21,-10
-0.14,-0.17,-2.92,-2.44,0.00,0.00,-24,-12
-0.09,-0.17,-2.87,-2.39,0.00,0.00,-26,-14
-0.17,-0.16,-2.77,-2.29,0.00,0.00,-28,-16
-0.34,-0.16,-2.71,-2.21,42.00,42.00,-30,-17
-0.53,-0.15,-2.63,-2.10,52.00,52.00,-32,-18
-0.90,-0.15,-2.58,-2.04,70.00,70.00,-35,-20
-0.67,-0.15,-2.51,-1.95,42.00,42.00,-37,-21
-0.31,-0.14,-2.50,-1.95,33.00,33.00,-39,-23
0.19,-0.14,-2.49,-1.92,0.00,0.00,-42,-25
0.71,-0.14,-2.43,-1.89,-60.00,-60.00,-44,-27
1.13,-0.14,-2.38,-1.82,-71.00,-71.00,-45,-28
1.52,-0.13,-2.21,-1.64,-84.00,-84.00,-46,-28
0.48,-0.11,-1.99,-1.48,37.00,37.00,-46,-28
-0.03,-0.10,-1.79,-1.30,54.00,54.00,-46,-27
-0.40,-0.09,-1.63,-1.20,56.00,56.00,-47,-28
-0.11,-0.09,-1.52,-1.13,0.00,0.00,-47,-28
0.19,-0.08,-1.37,-1.08,-47.00,-47.00,-47,-29
0.49,-0.07,-1.23,-0.98,-59.00,-59.00,-47,-29
0.70,-0.06,-1.06,-0.83,-62.00,-62.00,-46,-28
0.64,-0.05,-0.91,-0.65,-57.00,-57.00,-46,-27
0.39,-0.04,-0.72,-0.54,-47.00,-47.00,-45,-27
0.01,-0.03,-0.51,-0.39,-43.00,-43.00,-43,-26
-0.26,-0.02,-0.34,-0.23,-34.00,-34.00,-42,-25
-0.45,-0.01,-0.16,-0.14,-35.00,-35.00,-40,-24
-0.66,0.00,0.00,0.00,-32.00,-32.00,-39,-23
-0.71,0.00,0.12,0.00,-35.00,-35.00,-38,-22
-0.85,0.01,0.23,0.00,-35.00,-35.00,-37,-21
-0.92,0.01,0.30,0.00,-36.00,-36.00,-36,-20
-0.96,0.01,0.39,0.00,-38.00,-38.00,-35,-19
-0.93,0.01,0.44,0.00,-43.00,-43.00,-34,-18
-0.95,0.02,0.47,0.00,-41.00,-41.00,-33,-17
-0.96,0.02,0.52,0.00,-45.00,-45.00,-32,-16
-0.92,0.02,0.56,0.00,-47.00,-47.00,-31,-15
-0.93,0.02,0.58,0.12,-50.00,-50.00,-30,-14
-1.05,0.03,0.61,0.20,-47.00,-47.00,-29,-13
-1.13,0.03,0.65,0.30,-45.00,-45.00,-28,-12
-1.31,0.03,0.70,0.37,-43.00,-43.00,-27,-11
-1.50,0.04,0.75,0.45,-38.00,-38.00,-25,-9
-1.56,0.04,0.77,0.52,-39.00,-39.00,-24,-8
-1.75,0.05,0.81,0.59,-37.00,-37.00,-23,-7
-1.83,0.05,0.83,0.63,-37.00,-37.00,-22,-6
-1.94,0.05,0.84,0.66,-36.00,-36.00,-21,-5
-1.96,0.05,0.85,0.69,-37.00,-37.00,-20,-4
-1.94,0.05,0.86,0.69,-39.00,-39.00,-19,-3
-1.95,0.05,0.87,0.69,-42.00,-42.00,-18,-3
-1.96,0.05,0.88,0.70,-41.00,-41.00,-17,-2
-2.07,0.05,0.89,0.70,-38.00,-38.00,-16,-1
-2.08,0.05,0.89,0.67,-40.00,-40.00,-15,0
